Geo_Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.867780299629366, 2.3629287001561123;"{""coordinates"": [2.362928700156112, 48.867780299629366], ""type"": ""Point""}";733;République;République;;;71311;République;44617;République;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;C01379;METRO 9;9;METRO 9;RATP;1;0;653266.2316;6863272.014;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;République
48.86394012977459, 2.2784416488331494;"{""coordinates"": [2.278441648833149, 48.86394012977459], ""type"": ""Point""}";751;Rue de la Pompe;Rue de la Pompe;Avenue Georges Mandel;;71292;Rue de la Pompe;44461;Rue de la Pompe;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;C01379;METRO 9;9;METRO 9;RATP;1;0;647064.7583;6862898.34;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Rue de la Pompe
48.9458672712219, 2.3646364825042268;"{""coordinates"": [2.364636482504227, 48.9458672712219], ""type"": ""Point""}";763;Saint-Denis - Université;Saint-Denis - Université;;;72358;Saint-Denis Université (Paris 8);44860;Saint-Denis - Université;0;METRO;0;0;0;1;0;0;0;0;0;0;METRO 13;0;0;0;A01546;C01383;METRO 13;13;METRO 13;RATP;1;0;653461.3754;6871954.003;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Saint-Denis - Université
48.87210144121076, 2.4045149423791043;"{""coordinates"": [2.404514942379104, 48.87210144121076], ""type"": ""Point""}";764;Saint-Fargeau;Saint-Fargeau;;;71860;Saint-Fargeau;44864;Saint-Fargeau;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01549;C01386;METRO 3bis;3bis;METRO 3bis;RATP;1;0;656320.4457;6863728.686;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/84385f6415d8d60e0a135171e93312a5;Saint-Fargeau
48.83290081473939, 2.3371351933439004;"{""coordinates"": [2.3371351933439, 48.83290081473939], ""type"": ""Point""}";768;Saint-Jacques;Saint-Jacques;;;71041;Saint-Jacques;45315;Saint-Jacques;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01539;C01376;METRO 6;6;METRO 6;RATP;1;0;651341.5781;6859409.323;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;Saint-Jacques
48.86428575772448, 2.3797418931775542;"{""coordinates"": [2.379741893177554, 48.86428575772448], ""type"": ""Point""}";774;Rue Saint-Maur;Rue Saint-Maur;;;71795;Rue Saint-Maur;45194;Rue Saint-Maur;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01536;C01373;METRO 3;3;METRO 3;RATP;1;0;654496.5224;6862873.628;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a;Rue Saint-Maur
48.84150552143923, 2.3079486779742893;"{""coordinates"": [2.307948677974289, 48.84150552143923], ""type"": ""Point""}";919;Volontaires;Volontaires;;;71113;Volontaires;45060;Volontaires;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;C01382;METRO 12;12;METRO 12;RATP;1;0;649207.5445;6860384.451;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Volontaires
48.85687137832836, 2.315056637317088;"{""coordinates"": [2.315056637317088, 48.85687137832836], ""type"": ""Point""}";873;Varenne;Varenne;;;71232;Varenne;45131;Varenne;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;C01383;METRO 13;13;METRO 13;RATP;1;0;649744.034;6862088.433;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Varenne
48.79648308362958, 2.368269540049694;"{""coordinates"": [2.368269540049694, 48.79648308362958], ""type"": ""Point""}";898;Villejuif Paul Vaillant-Couturier;Villejuif Paul Vaillant-Couturier;Hôpital Paul Brousse;;70248;Paul Vaillant Couturier;58471;Paul Vaillant Couturier;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;C01377;METRO 7;7;METRO 7;RATP;1;0;653594.5881;6855341.399;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Villejuif Paul Vaillant-Couturier
48.89724528717232, 2.359507868815594;"{""coordinates"": [2.359507868815594, 48.89724528717232], ""type"": ""Point""}";691;Porte de la Chapelle;Porte de la Chapelle;;;72064;Porte de La Chapelle;473459;Porte de La Chapelle;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;C01382;METRO 12;12;METRO 12;RATP;1;0;653041.8705;6866550.373;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Porte de la Chapelle
